src_language	trg_language	domain	github	ckpt	src_vocab	trg_vocab	config.yaml	src_bpe	trg_bpe	complete
en	af	JW300	https://github.com/masakhane-io/masakhane/blob/master/benchmarks/en-af/jw300-baseline	https://drive.google.com/open?id=119XYxt6dy2_nKGpcge7KVrReW8_BEPpP	https://drive.google.com/file/d/13k-tt-vvwzMRgn10lpUSOHPvxu-ZCtQ4	https://drive.google.com/file/d/13k-tt-vvwzMRgn10lpUSOHPvxu-ZCtQ4	https://drive.google.com/open?id=1-_s_JL2mDcDVqai13FKS3r6YRXPPnpmm	https://drive.google.com/open?id=13BPnyDW4D_6bxy4tEYPIOVlH2MwH87Sz	https://drive.google.com/open?id=13BPnyDW4D_6bxy4tEYPIOVlH2MwH87Sz	yes
en	af	Autshumato	https://github.com/masakhane-io/masakhane-mt/tree/master/benchmarks/en-af/autshumato-baseline	https://drive.google.com/open?id=11Ij_XitMCdCDsUgKX9GZ38VAFxP5UOTl	https://drive.google.com/open?id=11Y1OwQuIxphkcdFQCru1yJ-gURbnursB	https://drive.google.com/open?id=11R1jy-tF-HGzmDbDw8FKhgh3SN8u4Ypa	https://drive.google.com/open?id=11ZgPBHBxyjptM6ZP6A9UsJba95PdYxfY	https://drive.google.com/open?id=1-gWoFbZwIYPwC9jl33xywyip6HUIzheb	https://drive.google.com/open?id=1-gWoFbZwIYPwC9jl33xywyip6HUIzheb	yes
en	ar	JW300+TED	https://github.com/masakhane-io/masakhane-mt/tree/master/benchmarks/en-ar/jw300-tedtalk-baseline	https://drive.google.com/open?id=11qzB0sRk21KDTsG_ByYD5Gi7egV9J0QA	https://drive.google.com/open?id=11gtWrF3qVQgk0jkfAMNSyKnMJ3q0Jgbi	https://drive.google.com/open?id=11fyWYszpB8Uvzmh1nEsCh0DQGzMgPr3x	https://drive.google.com/open?id=11i-TLdYD_ITkWK9D75A89ZN8OL6Tg-DH	https://drive.google.com/open?id=10FnoWKgS1p3oS27yXoOsPEPGuLO6pc0F	https://drive.google.com/open?id=10FnoWKgS1p3oS27yXoOsPEPGuLO6pc0F	yes
en	am	JW300	https://github.com/masakhane-io/masakhane-mt/tree/master/benchmarks/en-am/jw300-amharic-baseline	https://drive.google.com/open?id=11mWDx7xPXIYMSHdXh-kuf2_RKRORoCi7	https://raw.githubusercontent.com/masakhane-io/masakhane-mt/master/benchmarks/en-am/jw300-amharic-baseline/data/src_vocab.txt	https://raw.githubusercontent.com/masakhane-io/masakhane-mt/master/benchmarks/en-am/jw300-amharic-baseline/data/trg_vocab.txt	https://raw.githubusercontent.com/masakhane-io/masakhane-mt/master/benchmarks/en-am/jw300-amharic-baseline/data/config.yaml	https://raw.githubusercontent.com/masakhane-io/masakhane-mt/master/benchmarks/en-am/jw300-amharic-baseline/data/bpe.codes.4000	https://raw.githubusercontent.com/masakhane-io/masakhane-mt/master/benchmarks/en-am/jw300-amharic-baseline/data/bpe.codes.4000	yes
en	ddn		https://github.com/masakhane-io/masakhane-mt/tree/master/benchmarks/en-ddn/live.bible.is-baseline	https://drive.google.com/file/d/10gRY0Z-awPLJRsCYhfuRvn1RsDWg7ifH	https://raw.githubusercontent.com/masakhane-io/masakhane-mt/master/benchmarks/en-ddn/live.bible.is-baseline/src_vocab.txt	https://raw.githubusercontent.com/masakhane-io/masakhane-mt/master/benchmarks/en-ddn/live.bible.is-baseline/trg_vocab.txt	https://raw.githubusercontent.com/masakhane-io/masakhane-mt/master/benchmarks/en-ddn/live.bible.is-baseline/config.yaml	https://raw.githubusercontent.com/masakhane-io/masakhane-mt/master/benchmarks/en-ddn/live.bible.is-baseline/bpe.codes.4000	https://raw.githubusercontent.com/masakhane-io/masakhane-mt/master/benchmarks/en-ddn/live.bible.is-baseline/bpe.codes.4000	yes
en	efi		https://github.com/masakhane-io/masakhane-mt/tree/master/benchmarks/en-efi/jw300-baseline	https://drive.google.com/file/d/16VErWlive6wjNsp3rZX4D22g2RNA5_wx	https://raw.githubusercontent.com/masakhane-io/masakhane-mt/master/benchmarks/en-efi/jw300-baseline/src_vocab.txt	https://raw.githubusercontent.com/masakhane-io/masakhane-mt/master/benchmarks/en-efi/jw300-baseline/trg_vocab.txt	https://drive.google.com/file/d/1Fs3wWSrUz9JzeJWOeQllVAVgoBj7oGeK	https://drive.google.com/open?id=10GxcfYiCcyX8g2AneIaLdx6bEidcGYZF	https://drive.google.com/open?id=10GxcfYiCcyX8g2AneIaLdx6bEidcGYZF	yes
en	bin		https://github.com/masakhane-io/masakhane-mt/tree/master/benchmarks/en-bin/jw300-baseline	https://drive.google.com/open?id=11qzB0sRk21KDTsG_ByYD5Gi7egV9J0QA	https://drive.google.com/open?id=11gtWrF3qVQgk0jkfAMNSyKnMJ3q0Jgbi	https://drive.google.com/open?id=11fyWYszpB8Uvzmh1nEsCh0DQGzMgPr3x	https://drive.google.com/open?id=11i-TLdYD_ITkWK9D75A89ZN8OL6Tg-DH	https://drive.google.com/open?id=10FnoWKgS1p3oS27yXoOsPEPGuLO6pc0F	https://drive.google.com/open?id=10FnoWKgS1p3oS27yXoOsPEPGuLO6pc0F	yes
en	ish		https://github.com/masakhane-io/masakhane-mt/tree/master/benchmarks/en-ish/jw300-baseline	https://drive.google.com/open?id=10cokUCY01ZIxwZbFt2s8BlubpjDps2hm	https://drive.google.com/open?id=10Z8LuIvt9WvVy1NjiKwIuULDoOtQVW8z	https://drive.google.com/open?id=10S1HPPNngxBTdQPk3-61lXpwpDMtSNyU	https://drive.google.com/open?id=10QaZXnJzXnVYQpVJCkl0yvAwsFnE4bmt	https://drive.google.com/open?id=1-60v03KFr2xzTZEccayAIsRh3MCz0Tww	https://drive.google.com/open?id=1-60v03KFr2xzTZEccayAIsRh3MCz0Tww	yes
en	fon	JW300	https://github.com/masakhane-io/masakhane-mt/tree/master/benchmarks/en-fon/jw300-baseline	https://drive.google.com/file/d/11doYa-jfV9pwgqP9xQGbD2CYYQJ5ey9P	https://drive.google.com/file/d/119faM4mgxKsqhgIwxEJGnuedv0HFHls8	https://drive.google.com/file/d/111CRIEMC0zdJMeAGzIIDWrPj6ETO20wQ	https://raw.githubusercontent.com/masakhane-io/masakhane-mt/master/benchmarks/en-fon/jw300-baseline/config.yaml	https://drive.google.com/file/d/1-sgbZFUVgUl-rzDpF0L-PJcOd4pGG8re	https://drive.google.com/file/d/1-sgbZFUVgUl-rzDpF0L-PJcOd4pGG8re	yes
en	ha		https://github.com/masakhane-io/masakhane-mt/tree/master/benchmarks/en-ha/opus_en_ha_baseline	https://drive.google.com/open?id=11hvNxEiGH4-AXQlHSYJAh42NECYim_Es	https://drive.google.com/open?id=18sztKwiDzvdXh8yDQ6dLrF0O20YWip1g	https://drive.google.com/open?id=18UYsvzR1EWLWn2tzImg7XLH1YlbB60Qe	https://drive.google.com/open?id=18vuaAGSLdm8rD25BVBoXSUA7DPgFfDl-	https://drive.google.com/open?id=1-brf9W3B0DxyejpSmpsfXRe7QtyIcIpN	https://drive.google.com/open?id=1-brf9W3B0DxyejpSmpsfXRe7QtyIcIpN	yes
