src_language	trg_language	domain	github	ckpt	src_vocab	trg_vocab	config.yaml	src_bpe	trg_bpe	complete
en	af	JW300	https://github.com/masakhane-io/masakhane/blob/master/benchmarks/en-af/jw300-baseline	https://drive.google.com/open?id=119XYxt6dy2_nKGpcge7KVrReW8_BEPpP	https://drive.google.com/file/d/13k-tt-vvwzMRgn10lpUSOHPvxu-ZCtQ4	https://drive.google.com/file/d/13k-tt-vvwzMRgn10lpUSOHPvxu-ZCtQ4	https://drive.google.com/open?id=1-_s_JL2mDcDVqai13FKS3r6YRXPPnpmm	https://drive.google.com/open?id=13BPnyDW4D_6bxy4tEYPIOVlH2MwH87Sz	https://drive.google.com/open?id=13BPnyDW4D_6bxy4tEYPIOVlH2MwH87Sz	yes
en	af	Autshumato	https://github.com/masakhane-io/masakhane-mt/tree/master/benchmarks/en-af/autshumato-baseline	https://drive.google.com/open?id=11Ij_XitMCdCDsUgKX9GZ38VAFxP5UOTl	https://drive.google.com/open?id=11Y1OwQuIxphkcdFQCru1yJ-gURbnursB	https://drive.google.com/open?id=11R1jy-tF-HGzmDbDw8FKhgh3SN8u4Ypa	https://drive.google.com/open?id=11ZgPBHBxyjptM6ZP6A9UsJba95PdYxfY	https://drive.google.com/open?id=1-gWoFbZwIYPwC9jl33xywyip6HUIzheb	https://drive.google.com/open?id=1-gWoFbZwIYPwC9jl33xywyip6HUIzheb	yes
en	bin		https://github.com/masakhane-io/masakhane-mt/tree/master/benchmarks/en-bin/jw300-baseline	https://drive.google.com/open?id=11qzB0sRk21KDTsG_ByYD5Gi7egV9J0QA	https://drive.google.com/open?id=11gtWrF3qVQgk0jkfAMNSyKnMJ3q0Jgbi	https://drive.google.com/open?id=11fyWYszpB8Uvzmh1nEsCh0DQGzMgPr3x	https://drive.google.com/open?id=11i-TLdYD_ITkWK9D75A89ZN8OL6Tg-DH	https://drive.google.com/open?id=10FnoWKgS1p3oS27yXoOsPEPGuLO6pc0F	https://drive.google.com/open?id=10FnoWKgS1p3oS27yXoOsPEPGuLO6pc0F	yes
en	ish		https://github.com/masakhane-io/masakhane-mt/tree/master/benchmarks/en-ish/jw300-baseline	https://drive.google.com/open?id=10cokUCY01ZIxwZbFt2s8BlubpjDps2hm	https://drive.google.com/open?id=10Z8LuIvt9WvVy1NjiKwIuULDoOtQVW8z	https://drive.google.com/open?id=10S1HPPNngxBTdQPk3-61lXpwpDMtSNyU	https://drive.google.com/open?id=10QaZXnJzXnVYQpVJCkl0yvAwsFnE4bmt	https://drive.google.com/open?id=1-60v03KFr2xzTZEccayAIsRh3MCz0Tww	https://drive.google.com/open?id=1-60v03KFr2xzTZEccayAIsRh3MCz0Tww	yes
en	ig		https://github.com/masakhane-io/masakhane-mt/tree/master/benchmarks/en-ig/jw300-baseline	https://drive.google.com/open?id=1M9BbyuKtP82eRoCHNmkFOOojprWi3Wwk	https://drive.google.com/open?id=15VubgMTSdhjCeOZn4owGd_VXlC1uPQLC	https://drive.google.com/open?id=15RZXkocOy6NSEku-pBpe8JqdYkX3YSs3	https://drive.google.com/open?id=15LvYjSkm5HqMXmvNy1bbUBJxz7LfWZNY	https://drive.google.com/open?id=1-IFaF3sCrgiSJzhrHBTjtzyuMghksdpn	https://drive.google.com/open?id=1-IFaF3sCrgiSJzhrHBTjtzyuMghksdpn	yes
en	iso		https://github.com/masakhane-io/masakhane-mt/tree/master/benchmarks/en-iso/jw300-baseline	https://drive.google.com/open?id=1GjLfddEv-8nyszyP88zwiElQBVecBF2n	https://drive.google.com/open?id=102Qvq80TLQrmAYdLcRLpqS4FtA9tN9v5	https://drive.google.com/open?id=1028QfZSd51z7KonRDBztX7Xm0x8wLSHH	https://drive.google.com/open?id=102X36ERzICE6UHe-VBkCUhP6UACT9IKr	https://drive.google.com/open?id=1-jWFL352h9eiNPEaBnSldQGSnwAuYDMJ	https://drive.google.com/open?id=1-jWFL352h9eiNPEaBnSldQGSnwAuYDMJ	yes
en	kam		https://github.com/masakhane-io/masakhane-mt/tree/master/benchmarks/en-kam/tuned-jw300-baseline	https://drive.google.com/open?id=10tUF4XuTiRQevpoXVKWG5g_1zTY3bQip	https://drive.google.com/open?id=1nbKacy8tLPoeGXFtdmZqIylK28wVSbCf	https://drive.google.com/open?id=1iSkLUYh-_VIQ1ZYfzUWrt_upDqKQStvc	https://drive.google.com/open?id=126UqaTeg8_lRvhDSimWoPW5-CwJlfSN2	https://raw.githubusercontent.com/masakhane-io/masakhane-mt/master/benchmarks/en-kam/tuned-jw300-baseline/bpe.codes.25000	https://raw.githubusercontent.com/masakhane-io/masakhane-mt/master/benchmarks/en-kam/tuned-jw300-baseline/bpe.codes.25000	yes
en	ki	JW300	https://github.com/masakhane-io/masakhane-mt/tree/master/benchmarks/en-ki/tuned-jw300-baseline	https://drive.google.com/open?id=1B7d89RfvJVXAoe0xXV_gTM6EhwvCQSGM	https://drive.google.com/open?id=1CWpWc3MJupgS00sAFr1iEu_gazUVr_1u	https://drive.google.com/open?id=1Y9dZJwckbp1UCcawj2mr3tEdhdqPc_Vb	https://drive.google.com/open?id=1D5N1giBa4keDE5yY-WHd7jG5Vbq3B1aj	https://raw.githubusercontent.com/masakhane-io/masakhane-mt/master/benchmarks/en-ki/tuned-jw300-baseline/bpe.codes.20000	https://raw.githubusercontent.com/masakhane-io/masakhane-mt/master/benchmarks/en-ki/tuned-jw300-baseline/bpe.codes.20000	yes
en	luo	JW300	https://github.com/masakhane-io/masakhane-mt/tree/master/benchmarks/en-luo/fine-tuned-jw300-baseline	https://drive.google.com/open?id=1FsTddzCxZswiiqeWCWnAL-TdDlc0x8r0	https://drive.google.com/open?id=1ZbpS4Jtd-8mActzMTjs8fFBeD5_Kykme	https://drive.google.com/open?id=1MQbGxd49rD_7SKrGxygKavrPWIMPpDn3	https://drive.google.com/open?id=1-7MYFLYJRQnQl8fAmMUnJZISKWOum4DD	https://github.com/masakhane-io/masakhane-mt/blame/master/benchmarks/en-luo/fine-tuned-jw300-baseline/bpe.codes.30000	https://github.com/masakhane-io/masakhane-mt/blame/master/benchmarks/en-luo/fine-tuned-jw300-baseline/bpe.codes.30000	yes
en	pcm		https://github.com/masakhane-io/masakhane-mt/tree/master/benchmarks/en-pcm/jw300-baseline	https://drive.google.com/file/d/1KYH7egDLQVE_FYN-Bu5sreMzCj9Xl3yV	https://raw.githubusercontent.com/masakhane-io/masakhane/master/benchmarks/en-pcm/jw300-baseline/data/src_vocab.txt	https://raw.githubusercontent.com/masakhane-io/masakhane-mt/master/benchmarks/en-pcm/jw300-baseline/data/trg_vocab.txt	https://raw.githubusercontent.com/masakhane-io/masakhane-mt/master/benchmarks/en-pcm/jw300-baseline/config.yaml	https://raw.githubusercontent.com/masakhane-io/masakhane-mt/master/benchmarks/en-pcm/jw300-baseline/data/bpe.codes.4000	https://raw.githubusercontent.com/masakhane-io/masakhane-mt/master/benchmarks/en-pcm/jw300-baseline/data/bpe.codes.4000	yes
